!	Black	Butte	Lake	Apr-Sep	Inflow	Estimate	"(forecast),"			
!	Estimated	Unimpaired	Apr-Sep	"flows,"						
!	Stony	Creek	below	Black	Butte	Dam.
!       Last update and extension through 2015 -- Idy Lui 8/2015  (BlkBtForecastInflow_lookuptable.xlsx)
!       Previously the UF4 data from Califorina Central Valley Unimpaired Flow data Report (Third Edition) were used for 1921-1994 and (Forth Edition) were used for 2004-2010; unknown data sources for 1995-2003.
!       After discussion with Hongbing Yin, currently unimparied flow at stony creek below Black Butte dam from 1922 through 2015 is esitmated as the sum of inflows to Black Butte, Stony Gorge, and East Park lake (I_BLKBT, I_SGRGE, I_EPARK) developed by Jay Wang. 
!       Didn't change unimparied flow for 1921.  
BlkBtForcastInflow					
wateryear	apr_sep									
1921	64									
1922	108
1923	70
1924	3
1925	154
1926	94
1927	96
1928	82
1929	21
1930	51
1931	15
1932	48
1933	53
1934	21
1935	137
1936	68
1937	85
1938	216
1939	16
1940	93
1941	297
1942	200
1943	65
1944	72
1945	51
1946	32
1947	25
1948	142
1949	91
1950	61
1951	58
1952	145
1953	105
1954	105
1955	50
1956	111
1957	46
1958	203
1959	17
1960	33
1961	29
1962	43
1963	166
1964	17
1965	154
1966	64
1967	182
1968	35
1969	148
1970	34
1971	79
1972	37
1973	96
1974	144
1975	134
1976	22
1977	5
1978	108
1979	69
1980	71
1981	40
1982	246
1983	293
1984	57
1985	46
1986	64
1987	22
1988	26
1989	49
1990	30
1991	62
1992	45
1993	112
1994	21
1995	197
1996	111
1997	37
1998	322
1999	126
2000	83
2001	37
2002	31
2003	123
2004	53
2005	179
2006	338
2007	19
2008	57
2009	35
2010	171
2011	187
2012	65
2013	21
2014	21
2015	9							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							






























































































