!Extended	6/17/2005	from	1994	to	2003	by	C.Quan-DWR.
!Extended through 2015 by Idy Lui. Index from 1922 to 2014 have been updated and corrected.Data through 2014 using values from CDEC. (6/17/2016) 
!Sum	of	Jan-May	eight	river	index	in	taf
delta_index							
wateryear	Dlt_Idx						
	1921	19008					
	1922	16439					
	1923	11496					
	1924	4514					
	1925	15635					
	1926	11644					
	1927	20898					
	1928	15757					
	1929	7143					
	1930	10957					
	1931	5193					
	1932	12551					
	1933	7501					
	1934	7662					
	1935	16473					
	1936	18566					
	1937	14873					
	1938	27938					
	1939	7242					
	1940	24169					
	1941	24438					
	1942	20907					
	1943	20653					
	1944	9378					
	1945	14010					
	1946	13374					
	1947	8967					
	1948	13021					
	1949	11425					
	1950	14286					
	1951	15530					
	1952	25045					
	1953	15605					
	1954	16525					
	1955	8589					
	1956	23055					
	1957	13067					
	1958	27483					
	1959	10822					
	1960	12159					
	1961	9106					
	1962	14282					
	1963	19053					
	1964	8064					
	1965	18386					
	1966	11784					
	1967	20029					
	1968	12079					
	1969	28782					
	1970	21411					
	1971	16184					
	1972	11555					
	1973	18842					
	1974	24964					
	1975	16881					
	1976	5653					
	1977	3090					
	1978	23840					
	1979	13622					
	1980	23211					
	1981	10243					
	1982	27544					
	1983	33109					
	1984	14324					
	1985	8566					
	1986	28015					
	1987	8056					
	1988	7168					
	1989	13815					
	1990	7559					
	1991	7801					
	1992	8487					
	1993	22450					
	1994	6848					
	1995	34205					
	1996	22444					
	1997	22992					
	1998	27794					
	1999	18388					
	2000	19281					
	2001	9280					
	2002	12178					
	2003	15672					
	2004	14283					
	2005	18650					
	2006	29356					
	2007	8481					
	2008	9870					
	2009	13532					
	2010	14040			
	2011	20423				
	2012	10698				
	2013	7575				
	2014	6523				
	2015	5453
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
