! Flow requirements from the 2000 Joint Settlement Agreement for Relicensing of FERC Project 137
! MinElectra in cfs
!febjunMinElectra in TAF
Mok_Proj137Flow
month	wyt	minElecta febjunmin
1	1	20	0
2	1	50	0
3	1	50	0
4	1	90	0
5	1	120	150.5
6	1	150	143.9
7	1	400	134.6
8	1	980	110.8
9	1	850	50.6
10	1	145	0
11	1	30	0
12	1	20	0
1	2	20	0
2	2	20	0
3	2	40	0
4	2	60	0
5	2	60	67.6
6	2	110	64.3
7	2	190	57.5
8	2	490	46.2
9	2	270	16.1
10	2	40	0
11	2	20	0
12	2	20	0
1	3	20	0
2	3	25	0
3	3	30	0
4	3	40	0
5	3	40	41.3
6	3	80	39
7	3	135	34.1
8	3	250	26.1
9	3	180	10.7
10	3	35	0
11	3	20	0
12	3	20	0
1	4	20	0
2	4	20	0
3	4	20	0
4	4	25	0
5	4	30	18.3
6	4	50	16.7
7	4	80	13.6
8	4	95	8.8
9	4	50	3
10	4	20	0
11	4	20	0
12	4	20	0
1	5	15	0
2	5	20	0
3	5	20	0
4	5	20	0
5	5	25	11.7
6	5	30	10.3
7	5	40	8.4
8	5	60	6.1
9	5	40	2.4
10	5	20	0
11	5	15	0
12	5	15	0
