!Extension	of	data	from	1994	to	2003	by	C.Quan-DWR	on	6/17/05.
!Extended through 2015 by Idy Lui. Index from 1924 to 2014 have been updated and corrected.Data through 2014 using values from CDEC. (6/17/2016)
!Dec	value	of	eight	river	sum	in	taf			
eightriver										
wateryear	pmi									
1921	2896									
1922	1163									
1923	2032									
1924	488									
1925	924									
1926	670									
1927	2006									
1928	1096									
1929	636									
1930	2372									
1931	389									
1932	1684									
1933	419									
1934	1041									
1935	795									
1936	510									
1937	449									
1938	4814									
1939	797									
1940	677									
1941	3407									
1942	3576									
1943	1828									
1944	547									
1945	1505									
1946	4603									
1947	1063									
1948	504									
1949	660									
1950	435									
1951	5950									
1952	3362									
1953	1923									
1954	798									
1955	1355									
1956	9144									
1957	607									
1958	1625									
1959	582									
1960	474									
1961	1360									
1962	1189									
1963	1897									
1964	851									
1965	8661									
1966	1044									
1967	2981									
1968	851									
1969	1765									
1970	3298									
1971	3259									
1972	1191									
1973	1835									
1974	3685									
1975	859									
1976	763									
1977	379									
1978	1898									
1979	535									
1980	1242									
1981	917									
1982	5582									
1983	3694									
1984	6717									
1985	1196									
1986	1255									
1987	529									
1988	1701									
1989	720									
1990	445									
1991	338									
1992	474									
1993	1247									
1994	777									
1995	1056									
1996	1716									
1997	6836									
1998	1183									
1999	1884									
2000	654									
2001	667									
2002	2499									
2003	3242									
2004	2137									
2005	1558									
2006	5829									
2007	1320								
2008	696								
2009	571								
2010	710								
2011	4313								
2012	488								
2013	4091								
2014	381								
2015	2889






























































































