!
!coefev = [area(i+1) - area(i)]/[storage(i+1)-storage(i)]
!         added by Z.Q. Richard Chen 5/8/2017
!units:            af   acre      cfs     ft     [1/ft]
!
res_info
res_num         storage     area      discharge    elevation		coefev	
       1              0         0         6550           1945		0.013	
       1         300000      3900         6550           2142		0.00786	
       1         580000      6100         7390           2199		0.00679	
       1         860000      8000         7910           2239		0.00667	
       1        1070000      9400         8210           2263		0.00619	
       1        1280000     10700         8470           2284		0.00563	
       1        1600000     12500         8800           2311		0.0045	
       1        2000000     14300         9220           2345		0.004	
       1        2300000     15500         9410           2361		0.004	
       1        2500000     16300        32040           2373		0.004	
       3              0         0         8100            958		0.03846	
       3          13000       500         8100           1075		0.01923	
       3          39000      1000         9400           1112		0.01538	
       3          78000      1600        10400           1142		0.01316	
       3         116000      2100        10900           1163		0.00769	
       3         142000      2300        11200           1174		0.01154	
       3         168000      2600        11600           1185		0.00769	
       3         194000      2800        11800           1194		0.01026	
       3         233000      3200        12200           1207		0.00588	
       3         250000      3300        12400           1212		0.00588	
       4              0         0            0              0		0.024	
       4         100000      2400            0            738		0.008	
       4         150000      2800         4000            750		0.012	
       4         350000      5200        10000            800		0.00901	
       4         572000      7200        13000            838		0.00805	
       4        1168000     12000        38000            900		0.00618	
       4        1686000     15200        44000            938		0.00579	
       4        2515000     20000        65000            985		0.00534	
       4        3713000     26400        80000           1037		0.00429	
       4        4552100     30000       271000           1067		0.00336	
       4        5152100     32015       275326         1086.1		0.00517	
       4        5187100     32196       282067         1087.5		0.00517	
       5              0         0       240000            480		0.1	
       5             50         5       240000            490		0.1	
       5            100        10       240000            500		0.03333	
       5            400        20       240000            510		0.08	
       5           1400       100       240000            520		0.05818	
       5           2500       164       240000            530		0.03105	
       5           4400       223       240000            540		0.028	
       5           6900       293       240000            550		0.02473	
       5          14340       477       240000            570		0.01716	
       5          24420       650       240000            588		0.01716	
       6              0         0        50000            340		0.02004	
       6          29638       594        50000            340		0.01061	
       6         120000      1553        50000            440		0.00666	
       6         480000      3950        50000            570		0.00508	
       6         846367      5810        50000            639		0.00481	
       6         852192      5838        50000            640		0.00457	
       6        1008000      6550        20700            668		0.00415	
       6        1680000      9340        21000            750		0.00374	
       6        2352000     11851        21400            819		0.00333	
       6        3553405     15855       280000            901		0.00336	
       6        3864497     16899       750000            920		0.00336	
       7              0         0        17000            110		1	
       7            753       753        17000            113		0.13485	!dead    pool
       7          10000      2000        17000            122		0.06579	
       7          12888      2190        17000            123		0.07171	!minimum operatinlevel
       7          20000      2700        17000          126.1		0.06	
       7          30000      3300        17000          129.3		0.04	
       7          40000      3700        17000          132.2		0.04	
       7          50000      4100        17000          134.6		0.02869	
       7          57041      4302        17000          136.5		0.03312	!maximum operatinlevel
       7          60000      4400        17000          137.1		0.03312	
       8              0         0            0              0		0.18182	
       8             11         2            0            210		0.02688	
       8          48449      1304        16800            305		0.01749	
       8          93378      2090        28090            332		0.0179	
       8         140856      2940        29930            351		0.02052	
       8         188313      3914        31170            365		0.01839	
       8         236442      4799        32130            376		0.01443	
       8         282681      5466        32850            385		0.01224	
       8         379578      6652        34130            401		0.00942	
       8         668532      9375       132770            437		0.00592	
       8         966832     11140       466690            466		0.00493	
       8         977991     11195       466690            467		0.00493	
       9              0         0       169652            102		0.09711	
       9           1730       168       169652            102		0.05626	
       9           2672       221       169652            107		0.04947	
       9           3622       268       169652            111		0.04745	
       9           4170       294       169652            113		0.04326	
       9           4771       320       169652            115		0.04545	
       9           5431       350       169652            117		0.04225	
       9           6141       380       169652            119		0.05128	
       9           6921       420       169652            121		0.05747	
       9           7791       470       169652            123		0.06869	
       9           8810       540       169652            125		0	
       9          10000       540       169652            125		0	
      10              0         0            0            543		0.06256	
      10            975        61           33            600		0.02185	
      10          50000      1132         1700            693		0.02177	
      10          53904      1217         1750            700		0.01085	
      10         100000      1717         1800            726		0.01085	
      10         160548      2374         1982            760		0.00771	
      10         200000      2678         2100            774		0.00772	
      10         250000      3064         2900            791		0.00771	
      10         299517      3446        12110            808		0.00621	
      10         300000      3449        12200            808		0.00556	
      10         846524      6485        12200            920		0.00437	
      10        1398831      8901        12200            992		0.00361	
      10        1969504     10962        12200         1049.5		0.00329	
      10        2419523     12442        12200           1088		0.00333	
      10        2571835     12949        31040           1100		0.00355	
      10        2871000     14011       125676         1123.4		0.00355	
      11              0         0            0              0		0.04439	
      11          37980      1686        14376          326.2		0.01304	
      11         142500      3049        14376          369.2		0.00678	
      11         247000      3757        14376          399.6		0.00503	
      11         356250      4307        14376          426.6		0.00369	
      11         475000      4745        14376          452.8		0.00296	
      11         665000      5307        14376          490.5		0.00255	
      11         807500      5670        14376          516.4		0.00239	
      11         902500      5897        14376          532.8		0.00216	
      11         998000      6103        14376          548.7		0.00216	
      12              0         0            0              0		0.04438	
      12          42000      1864        14376          326.2		0.01303	
      12         157500      3369        14376          369.2		0.00679	
      12         273000      4153        14376          399.6		0.00504	
      12         393750      4761        14376          426.6		0.00369	
      12         525000      5245        14376          452.8		0.00295	
      12         735000      5865        14376          490.5		0.00255	
      12         892500      6266        14376          516.4		0.0024	
      12         997500      6518        14376          532.8		0.00217	
      12        1102000      6745        14376          548.7		0.00217	
      13              0         1        14376              0		0.04436	
      13          42000      1864        14376          326.2		0.01303	
      13         157500      3369        14376          369.2		0.00679	
      13         273000      4153        14376          399.6		0.00504	
      13         393750      4761        14376          426.6		0.00369	
      13         525000      5245        14376          452.8		0.00295	
      13         735000      5865        14376          490.5		0.00255	
      13         892500      6266        14376          516.4		0.0024	
      13         997500      6518        14376          532.8		0.00217	
      13        1102000      6745        14376          548.7		0.00105	
      13        2050000      7745        14376          548.7		0.00105	
      15              0         0            0              0		0.04673	
      15           3317       155          300            609		0.01986	
      15           9863       285          300            638		0.01638	
      15          12000       320          300            648		0.01167	
      15          15000       355          300            658		0.013	
      15          20000       420          300            670		0.016	
      15          25000       500          300            680		0.018	
      15          30000       590          300            690		0.013	
      15          35000       655          300            698		0.0108	
      15          40000       709          300            703		0.00946	
      15          77100      1060          300            745		0.00946	
      16              0         0         1100              0		0.0228	
      16          20000       456         1740              0		0.0188	
      16          30000       644         2040              0		0.0191	
      16          40000       835         8000              0		0.0195	
      16          50000      1030         8000              0		0.01971	
      16          57000      1168         8000              0		0.01982	
      16          62500      1277         8000              0		0.02	
      16          63500      1297        27950              0		0.02	
      16          67000      1367        27950              0		0.02	
      16          70000      1427       121200              0		0.02	
      17              0         0       100000              0		0.01586	
      17          50000       793       100000              0		0.01586	
      18              0         0            0              0		0.02008	
      18          60000      1205         9000            423		0.0136	
      18         100000      1749        12500            449		0.01128	
      18         140000      2200        18000            469		0.0097	
      18         190000      2685        22000            491		0.00842	
      18         250000      3190        24000            512		0.00745	
      18         310000      3637        27000            530		0.00666	
      18         380000      4103        30000            548		0.00601	
      18         450000      4524        32500            563		0.00549	
      18         530000      4963       103000            578		0.00549	
      19              0         0          500              0		0	
      19         100000         0          500              0		0	
      19         150000         0          500              0		0	
      19         200000         0          500              0		0	
      19         250000         0          500              0		0	
      19         300000         0          500              0		0	
      19         350000         0          500              0		0	
      19         400000         0          500              0		0	
      19         450000         0          500              0		0	
      19         500000         0          500              0		0	
      20              0         0            0              0		0.01368	
      20         100000      1368        11500            618		0.00788	
      20         200000      2156        14000            674		0.00696	
      20         300000      2852        14500            713		0.00641	
      20         450000      3813        17000            758		0.00603	
      20         600000      4718        18000            793		0.00581	
      20         750000      5589        19000            823		0.00563	
      20         900000      6434        30000            848		0.00551	
      20        1050000      7261       200000            871		0.00541	
      20        1200000      8073       999999            891		0.00541	
      21              0         0          500              0		0	
      21         100000         0          500              0		0	
      21         150000         0          500              0		0	
      21         200000         0          500              0		0	
      21         250000         0          500              0		0	
      21         300000         0          500              0		0	
      21         350000         0          500              0		0	
      21         400000         0          500              0		0	
      21         450000         0          500              0		0	
      21         500000         0          500              0		0	
      22              0         0        10000            380		0.02148	
      22          74612      1603        10000            532		0.01385	
      22         149541      2641        10000            568		0.0147	
      22         298414      4830        10000            609		0.0105	
      22         552303      7495        10000            650		0.00657	
      22         878827      9641        10000            688		0.00431	
      22        1301774     11465        10000            728		0.00344	
      22        1502601     12156        10000            745		0.00315	
      22        1805797     13111        10000            769		0.00295	
      22        2304340     14580        10000            805		0.00295	
      23              0         0            0              0		0.01752	
      23         100000      1752        99999            524		0.00788	
      23         400000      4116        99999            628		0.00622	
      23         700000      5983        99999            683		0.00564	
      23        1000000      7675        99999            725		0.00532	
      23        1300000      9270        99999            760		0.0051	
      23        1600000     10800        99999            791		0.00494	
      23        1900000     12283        99999            820		0.00483	
      23        2200000     13732        99999            847		0.00473	
      23        2500000     15151        99999            872		0.00473	
      24              0         0          500              0		0	
      24         100000         0          500              0		0	
      24         150000         0          500              0		0	
      24         200000         0          500              0		0	
      24         250000         0          500              0		0	
      24         300000         0          500              0		0	
      24         350000         0          500              0		0	
      24         400000         0          500              0		0	
      24         450000         0          500              0		0	
      24         500000         0          500              0		0	
      25              0         0         2810           3180		0.08	
      25           1000        80         2810           3200		0.03167	
      25           4000       175         2810           3220		0.0225	
      25           6000       220         2810           3230		0.01667	
      25          15000       370         2810           3260		0.01238	
      25          25500       500         2810           3280		0.01917	
      25          31395       613         2810           3300		0.0096	
      25          44941       743         2810           3320		0.00817	
      25          61101       875         2810           3340		0.00598	
      25          78000       976         2810           3355		0.00598	
      26              0         0         5000              0		0.01161	
      26         336000      3900         5000            142		0.00661	
      26         669000      6100         5000            199		0.00571	
      26        1002000      8000         5000            239		0.0042	
      26        1335000      9400         5000            263		0.0039	
      26        1668000     10700         5000            284		0.00541	
      26        2001000     12500         5000            311		0.00541	
      26        2334000     14300         5000            345		0.0036	
      26        2667000     15500         5000            361		0.0024	
      26        3000000     16300         5000            373		0.0024	
      27              0         0            0              0		0.1175	
      27           4000       470         1000           1500		0.03509	
      27           9700       670         1000           1510		0.02329	
      27          17000       840         1000           1520		0.01895	
      27          26500      1020         1000           1530		0.01565	
      27          38000      1200         1000           1540		0.01583	
      27          50000      1390         1000           1550		0.015	
      27          66000      1630         1000           1560		0.01371	
      27          83500      1870         1000           1570		0.01231	
      27         103000      2110         1000           1580		0.01	
      27         130000      2380         3800           1592		0.01	
      28              0         0            0              0		0.03	
      28           1500        45         3100           2300		0.03182	
      28           7000       220         3100           2350		0.01333	
      28          22000       420         3100           2400		0.00827	
      28          48000       635         3100           2450		0.00605	
      28          86000       865         3100           2500		0.00522	
      28         133913      1115         3100           2548		0.00472	
      28         147680      1180         3100           2560		0.00496	
      28         159778      1240         3100           2570		0.00503	
      28         172496      1304         3100           2580		0.00531	
      28         200000      1450         3100           2604		0.00531	
      29              0         0         3100           1200		0.025	
      29          10000       250         3100           1250		0.02333	
      29          25000       600         3100           1300		0.0075	
      29          65000       900         3100           1350		0.00877	
      29          94874      1162         3100           1379		0.00584	
      29         141634      1435         3100           1415		0.00482	
      29         196413      1699         3100           1450		0.01829	
      29         260662      2874         3100           1485		0.01682	!use upper interval coefev
      29         323702      2235         3100           1515		0.01682	
      29         363250      2900         3100           1530		0.01682	
