wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        3494.32274283
1000.0        3494.32274283
1500.0        3494.32274283
2000.0        3494.32274283
2500.0        3494.32274283
3000.0        3494.32274283
3500.0        3494.32274283
4000.0        3494.32274283
4500.0        3494.32274283
5000.0        3694.03056401
5500.0        3698.97730301
6000.0        4104.92900309
6500.0        5025.40949438
7000.0        5701.00171255
7500.0        6245.62865301
8000.0        6812.69777156
8500.0        7497.90820752
9000.0        8009.92089309
9500.0        8932.92305302
10000.0        9703.40389564
10500.0        10459.0135783
11000.0        11047.3253178
11500.0        11585.7794867
12000.0        11872.5126711
12500.0        11988.9423271
13000.0        11998.3042002
13500.0        11998.3042002
14000.0        11998.3042002
14500.0        11998.3042002
15000.0        11998.3042002
15500.0        11998.3042002
16000.0        11998.3042002
16500.0        11998.3042002
17000.0        11998.3042002
17500.0        11998.3042002
18000.0        11998.3042002
18500.0        11998.3042002
19000.0        11998.3042002
19500.0        11998.3042002
20000.0        11998.3042002
