wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1341.7218153
1000.0        1341.7218153
1500.0        1341.7218153
2000.0        1341.7218153
2500.0        1436.21418515
3000.0        2049.39685885
3500.0        2813.26181709
4000.0        3459.39563193
4500.0        4434.72955874
5000.0        5275.06517897
5500.0        6115.99493574
6000.0        7568.30328787
6500.0        8069.57821956
7000.0        8200.22707257
7500.0        8367.53753288
8000.0        8367.53753288
8500.0        8367.53753288
9000.0        8367.53753288
9500.0        8367.53753288
10000.0        8367.53753288
10500.0        8367.53753288
11000.0        8367.53753288
11500.0        8367.53753288
12000.0        8367.53753288
12500.0        8367.53753288
13000.0        8367.53753288
13500.0        8367.53753288
14000.0        8367.53753288
14500.0        8367.53753288
15000.0        8367.53753288
15500.0        8367.53753288
16000.0        8367.53753288
16500.0        8367.53753288
17000.0        8367.53753288
17500.0        8367.53753288
18000.0        8367.53753288
18500.0        8367.53753288
19000.0        8367.53753288
19500.0        8367.53753288
20000.0        8367.53753288
