!	Author	A	Draper					
!	Date	6/19/2011						
!	"1=W,"	"2=AN,"	"3=BN,"	"4=D,"	5=C			
!	Units	TAF						
!	Critically	Dry	Equal	to	or	Less	than	900
!	Dry	901	to	"1,460"				
!	Below	Normal	"1,461"	to	"2,190"			
!	Above	Normal	"2,191"	to	"3,240"			
!	Wet	Greater	than	"3,240"				
!								
!	1921-1994	from	DWR	files				
!       Extended through 2015 by Idy Lui. Index from 2002 to 2013 and Runoff from 1923-2014 have been updated and corrected.Data through 2014 using values from CDEC. (6/17/2016)
wytypeYubaBear								
wateryear	Runoff	index						
1921	3169	2						
1922	2972	2						
1923	2073	3						
1924	603	5						
1925	2123	3						
1926	1607	3						
1927	3542	1						
1928	2435	2						
1929	1010	4						
1930	1818	3						
1931	641	5						
1932	2114	3						
1933	1078	4						
1934	987	4						
1935	2241	2						
1936	2589	2						
1937	1858	3						
1938	4034	1						
1939	907	4						
1940	2860	2						
1941	3138	2						
1942	3406	1						
1943	3133	2						
1944	1395	4						
1945	2112	3						
1946	2401	2						
1947	1365	4						
1948	2010	3						
1949	1485	3						
1950	2219	2						
1951	3539	1						
1952	4118	1						
1953	2554	2						
1954	1917	3						
1955	1285	4						
1956	3962	1						
1957	1959	3						
1958	3529	1						
1959	1235	4						
1960	1695	3						
1961	1125	4						
1962	1924	3						
1963	3275	1						
1964	1482	3						
1965	3883	1						
1966	1424	4						
1967	3299	1						
1968	1573	3						
1969	3669	1						
1970	2915	2						
1971	2857	2						
1972	1714	3						
1973	2660	2						
1974	3984	1						
1975	2372	2						
1976	791	5						
1977	369	5						
1978	2985	2						
1979	1727	3						
1980	3186	2						
1981	1100	4						
1982	4926	1						
1983	4699	1						
1984	3163	2						
1985	1319	4						
1986	3472	1						
1987	883	5						
1988	919	4						
1989	2262	2						
1990	1238	4						
1991	1179	4						
1992	912	4						
1993	2903	2						
1994	878	5						
1995	4570	1						
1996	3247	1						
1997	3729	1						
1998	3622	1						
1999	2744	2						
2000	2229	2						
2001	922	4						
2002	1723	3						
2003	2370	2						
2004	1684	3						
2005	2376	2						
2006	4221	1						
2007	1226	4						
2008	1213	4						
2009	1694	3						
2010	1838	3						
2011	3855	1						
2012	1543	3						
2013	1494	3						
2014	881	5						
2015	847	5






























































































